,State,2014_total_consumption,2013_total_consumption,2012_total_consumption,2011_total_consumption,2010_total_consumption,2009_total_consumption,2008_total_consumption,2007_total_consumption,2006_total_consumption,2005_total_consumption,2004_total_consumption,2003_total_consumption,2002_total_consumption,2001_total_consumption,2000_total_consumption,1999_total_consumption,1998_total_consumption,1997_total_consumption,1996_total_consumption,1995_total_consumption,1994_total_consumption,1993_total_consumption,1992_total_consumption,1991_total_consumption,1990_total_consumption,1989_total_consumption,1988_total_consumption,1987_total_consumption,1986_total_consumption,1985_total_consumption,1984_total_consumption,1983_total_consumption,1982_total_consumption,1981_total_consumption,1980_total_consumption,1979_total_consumption,1978_total_consumption,1977_total_consumption,1976_total_consumption,1975_total_consumption,1974_total_consumption,1973_total_consumption,1972_total_consumption,1971_total_consumption,1970_total_consumption,1969_total_consumption,1968_total_consumption,1967_total_consumption,1966_total_consumption,1965_total_consumption,1964_total_consumption,1963_total_consumption,1962_total_consumption,1961_total_consumption,1960_total_consumption
0,AL,1956280,1919354,1879635,1905153,1931497,1800963,2003783,2086267,2102515,2064991,2083473,1970222,1978862,1918045,2111723,2061519,2018519,1972624,2005028,1972487,1898428,1806217,1753456,1682950,1665543,1683264,1651823,1582744,1504837,1519791,1544689,1446066,1499225,1604167,1645058,1649050,1638624,1623676,1551983,1515313,1547838,1527391,1478196,1385063,1393617,1343234,1246729,1138614,1088594,1044971,979643,913539,881582,831574,866851
1,AK,603700,616789,649300,653608,653208,639695,650421,723069,746316,797700,775038,733500,732973,735820,742138,725402,723309,708823,718796,704170,623159,623702,627237,602660,584083,576194,521404,499218,504260,474439,482898,437637,409072,279672,295757,299782,324057,293532,254674,232186,201495,196970,214384,200968,182043,156633,122532,115172,102698,87781,85067,80788,78813,72174,61434
2,AZ,1421845,1414257,1395764,1424891,1383506,1381892,1467580,1499329,1472156,1426337,1385179,1334602,1315830,1321933,1311566,1264438,1222893,1169120,1144990,1079098,1042819,988428,973175,944742,938975,943223,906477,865876,853027,843159,802689,758051,746562,787960,754566,786539,748032,738931,691920,660048,676350,670143,616472,554228,520418,498204,456162,414505,403499,375254,369697,348343,324948,304873,283075
3,CA,7601505,7656822,7563794,7776927,7760538,7784989,8086723,8267570,8293703,8169353,8262807,7895316,8013701,7960577,7926500,7856916,7835457,7542532,7425277,7302840,7280057,7152400,7309920,7343441,7445222,7421929,7145316,6939976,6502678,6603078,6534948,6093451,6077238,6333429,6541825,6729279,6474592,6363228,6188055,6034581,5817867,6048369,5873069,5748474,5499913,5357405,5115522,4841294,4647090,4387443,4221395,3925660,3725916,3610724,3451501
4,CO,1481278,1468527,1440723,1470407,1513528,1466126,1488711,1484851,1432745,1416096,1382208,1354509,1353583,1353623,1251496,1189518,1170006,1125245,1128298,1078537,1053153,1051661,983917,983716,932912,915293,899459,866210,859492,869818,867797,831600,833306,816435,838278,856285,850434,835293,818964,784588,787232,802038,756424,691983,677688,648930,622808,555507,532133,508906,498252,466131,468555,461946,424768
5,CT,750990,753398,724964,739090,764949,767252,775522,842858,810851,864282,907899,895278,816441,830313,865112,825906,782824,803430,813075,774279,791322,789650,800879,767359,768285,811361,795530,763578,739790,723129,715162,688492,696822,695862,728307,755772,768902,748286,742265,689651,714248,743181,717707,682668,694004,667714,648817,624146,609518,569706,563712,545442,536794,518268,508131
6,DE,274098,274454,273722,272563,250209,259603,291766,293863,288661,302538,289853,303916,308936,292623,305217,286963,273796,276233,275814,265216,264056,268730,264229,253317,255443,241643,234168,227520,217108,214986,220573,197960,186602,195254,242632,245070,226572,227940,229418,219035,229120,246617,232722,222514,219874,219576,206991,187643,192954,184691,173552,173152,162273,150651,156707
7,DC,179470,174968,172960,183804,190527,195130,186873,194951,182520,196021,196871,189136,192711,188764,192617,185745,181651,185282,188535,191024,188776,193439,186771,187140,181020,180533,174976,174234,174696,165934,167024,162575,163811,149272,153262,152431,160278,163353,164436,163161,171284,193442,188830,199397,205891,195629,181890,182216,169526,159170,132268,121016,120459,118176,119872
8,FL,4110190,4076162,4029765,4141615,4282621,4126060,4276114,4424599,4438704,4383912,4317499,4164080,4150639,4036754,4048341,3892854,3841606,3712136,3691564,3604390,3461953,3340222,3308518,3246402,3281327,3249116,3042242,2870739,2782201,2699251,2551499,2457726,2402597,2482482,2512464,2422815,2327477,2217646,2062141,1939945,1929127,1995392,1804065,1674176,1577497,1453825,1349486,1223757,1180501,1111764,1049840,994700,949692,848978,809836
9,GA,2846904,2780163,2767383,2982761,3100104,2915601,2949332,3079992,3089838,3108442,3093790,2954883,2934544,2819162,2919531,2802868,2784476,2752080,2774219,2617424,2436931,2420189,2266653,2222569,2229704,2219783,2138471,2049217,1953859,1931245,1875367,1749505,1680042,1694616,1717557,1730075,1683507,1629162,1552929,1490137,1495883,1555418,1435826,1349064,1281009,1228336,1154138,1062891,998188,917780,857725,803621,765534,706226,701562
