,State,2014_total_population,2013_total_population,2012_total_population,2011_total_population,2010_total_population,2009_total_population,2008_total_population,2007_total_population,2006_total_population,2005_total_population,2004_total_population,2003_total_population,2002_total_population,2001_total_population,2000_total_population,1999_total_population,1998_total_population,1997_total_population,1996_total_population,1995_total_population,1994_total_population,1993_total_population,1992_total_population,1991_total_population,1990_total_population,1989_total_population,1988_total_population,1987_total_population,1986_total_population,1985_total_population,1984_total_population,1983_total_population,1982_total_population,1981_total_population,1980_total_population,1979_total_population,1978_total_population,1977_total_population,1976_total_population,1975_total_population,1974_total_population,1973_total_population,1972_total_population,1971_total_population,1970_total_population,1969_total_population,1968_total_population,1967_total_population,1966_total_population,1965_total_population,1964_total_population,1963_total_population,1962_total_population,1961_total_population,1960_total_population
0,AL,4846,4831,4816,4801,4785,4758,4718,4673,4629,4570,4531,4503,4480,4468,4452,4430,4405,4368,4331,4297,4260,4214,4154,4099,4050,4030,4024,4015,3992,3973,3952,3934,3925,3919,3900,3866,3832,3780,3735,3679,3626,3580,3539,3497,3451,3440,3446,3458,3464,3443,3395,3358,3323,3316,3274
1,AK,737,737,731,723,714,699,687,680,675,667,659,648,642,634,628,625,620,613,609,604,603,599,589,570,553,547,542,539,544,532,514,488,450,418,405,403,405,403,401,376,341,331,324,316,304,296,285,278,271,271,263,256,246,238,229
2,AZ,6729,6631,6553,6469,6408,6343,6280,6168,6029,5839,5652,5510,5396,5273,5161,5024,4883,4737,4587,4432,4245,4065,3916,3789,3684,3622,3535,3437,3308,3184,3067,2969,2890,2810,2738,2636,2515,2425,2346,2285,2223,2124,2008,1896,1792,1737,1682,1646,1614,1584,1556,1521,1471,1407,1321
3,CA,38792,38414,38056,37700,37334,36961,36604,36250,36021,35828,35575,35253,34872,34479,33988,33499,32988,32486,32019,31697,31484,31275,30975,30471,29960,29218,28464,27777,27102,26441,25844,25360,24820,24286,23801,23257,22836,22352,21936,21538,21174,20869,20585,20346,20007,19711,19394,19176,18858,18585,18151,17668,17072,16497,15870
4,CO,5356,5271,5192,5119,5048,4972,4890,4804,4720,4632,4575,4529,4490,4426,4327,4226,4117,4018,3920,3827,3724,3614,3496,3387,3308,3276,3262,3260,3237,3209,3170,3134,3062,2978,2909,2849,2767,2696,2632,2586,2541,2496,2405,2304,2223,2166,2120,2053,2007,1985,1970,1936,1899,1844,1769
5,CT,3595,3597,3594,3590,3580,3562,3546,3527,3517,3507,3496,3484,3459,3433,3412,3386,3365,3349,3337,3324,3316,3309,3301,3303,3292,3283,3272,3247,3224,3201,3180,3162,3139,3129,3113,3096,3092,3086,3083,3082,3074,3068,3069,3061,3041,3000,2964,2935,2903,2857,2798,2727,2647,2586,2544
6,DE,936,925,917,908,900,892,884,872,859,845,831,818,806,796,786,775,763,751,741,730,718,706,695,683,670,658,648,637,628,618,612,605,599,596,595,595,595,592,590,587,581,578,573,565,551,540,534,525,516,507,497,483,469,461,449
7,DC,660,650,635,620,605,592,580,574,571,567,568,569,573,575,572,570,565,568,572,581,589,595,598,601,605,624,630,637,638,635,633,632,634,637,638,650,665,677,692,707,718,731,742,750,756,762,778,791,791,797,798,798,788,778,765
8,FL,19906,19594,19352,19106,18850,18653,18527,18368,18167,17842,17415,17004,16689,16357,16048,15759,15487,15186,14853,14538,14239,13927,13651,13370,13033,12638,12306,11997,11668,11351,11040,10750,10471,10193,9840,9426,9102,8856,8667,8518,8299,7914,7511,7158,6848,6641,6433,6242,6104,5954,5781,5628,5458,5243,5004
9,GA,10097,9992,9918,9812,9713,9621,9505,9350,9156,8926,8769,8623,8508,8377,8227,8046,7864,7685,7501,7328,7157,6978,6817,6653,6513,6411,6316,6208,6085,5963,5835,5728,5650,5568,5486,5401,5296,5220,5133,5064,4999,4910,4809,4712,4607,4551,4482,4408,4379,4332,4258,4172,4086,4015,3956
