,State,2014_total_production,2013_total_production,2012_total_production,2011_total_production,2010_total_production,2009_total_production,2008_total_production,2007_total_production,2006_total_production,2005_total_production,2004_total_production,2003_total_production,2002_total_production,2001_total_production,2000_total_production,1999_total_production,1998_total_production,1997_total_production,1996_total_production,1995_total_production,1994_total_production,1993_total_production,1992_total_production,1991_total_production,1990_total_production,1989_total_production,1988_total_production,1987_total_production,1986_total_production,1985_total_production,1984_total_production,1983_total_production,1982_total_production,1981_total_production,1980_total_production,1979_total_production,1978_total_production,1977_total_production,1976_total_production,1975_total_production,1974_total_production,1973_total_production,1972_total_production,1971_total_production,1970_total_production,1969_total_production,1968_total_production,1967_total_production,1966_total_production,1965_total_production,1964_total_production,1963_total_production,1962_total_production,1961_total_production,1960_total_production
0,AL,1353725,1463647,1433370,1400108,1419613,1449279,1482813,1408121,1413506,1502443,1544014,1521056,1486484,1484597,1539607,1578649,1672368,1708525,1740277,1649519,1637598,1484440,1485036,1376325,1342221,1360337,1262666,1223311,1212158,1321089,1436061,1344208,1420985,1276911,1332560,1218930,1096730,1056925,845043,867574,807086,718203,736780,644204,679425,604556,577176,566875,516645,532433,541265,469030,484726,474779,474229
1,AK,1475129,1513859,1563102,1641980,1738207,1853208,1932646,2051639,2100329,2415039,2512619,2660210,2658369,2630790,2645900,2797459,3067133,3331780,3558296,3736998,3969253,3891653,4193120,4347323,4231722,4446320,4752211,4592198,4302597,4235098,3976349,3928061,3876789,3673107,3684552,3210995,2829103,1195224,557241,589081,560508,572417,569628,603475,615009,499135,421678,206393,117440,94316,90198,87933,82748,56144,21554
2,AZ,635050,594994,598039,617956,580948,564089,577794,539635,512183,612018,653742,644196,690115,684649,705283,691893,693324,706795,644767,651061,624946,586912,632390,644099,564694,450382,616440,515728,536812,397320,444544,429319,369985,351173,363380,337892,282521,322606,317800,239058,228968,155841,146644,107529,83347,83154,83935,74733,62173,53947,36786,36668,35003,35506,36737
3,CA,2413494,2390424,2334863,2634789,2532205,2496181,2522288,2619905,2801850,2808457,2762215,2902712,2925347,2875380,3067078,3103034,3190893,3048289,3134377,3090350,2985655,3204959,3186665,3252048,3278254,3408972,3341624,3423928,3648466,3635170,3587345,3501860,3337246,3071515,2999266,2916929,2956653,2735648,2686010,2789880,2881563,2929075,2950221,3171183,3309486,3463245,3394787,3339208,3166243,3009455,2832818,2844513,2692241,2619763,2630898
4,CO,3041634,2838193,2921385,2750097,2561459,2497400,2466361,2359170,2289951,2246264,2194140,2028517,1926703,1736330,1586160,1568048,1551671,1470609,1345796,1337529,1237560,1115734,977021,920603,875832,822054,788215,701052,731946,797377,796899,764392,857268,870081,836576,826621,734510,711999,642596,593164,542209,509663,451217,414787,405592,425728,449294,453052,466858,445898,432641,429258,442497,478706,481962
5,CT,197271,207118,205073,195792,203188,203964,187783,195946,198886,188226,202711,198832,184118,190943,221264,181756,83217,49406,121443,243141,251157,268118,214533,163251,243985,243075,270312,245290,232990,175409,196037,174555,192310,182655,172842,167591,178065,165981,160076,111827,111459,68780,106643,104379,58859,59867,52598,24128,16243,15500,16703,16253,15937,17076,17406
6,DE,4189,3818,3530,3976,3575,3579,2953,1519,861,951,1430,1397,1311,1322,2288,1999,1935,2202,2641,2476,2421,2492,1783,1733,1653,2515,2310,2162,2765,3019,2927,2224,3170,2006,2472,8729,10667,10161,9607,7901,8466,8483,8190,7673,7021,7073,6594,5783,5852,5577,5510,5356,5134,5101,4982
7,DC,360,323,277,271,95,41,54,47,42,45,940,923,878,864,1353,1257,1221,1377,1921,1850,1848,1945,1411,1344,1283,2511,2378,2226,3047,3327,3226,2563,3654,2311,2849,210,193,158,146,131,129,114,118,116,113,108,120,112,111,120,138,148,166,163,155
8,FL,553738,542570,442188,500907,510201,530854,551641,516567,534530,505218,529329,537425,554521,523390,569104,571981,576149,519205,554160,565354,541341,533761,537083,464256,474534,510201,450490,366834,421051,446764,477980,401701,508763,500518,591982,589635,593612,590465,476207,445543,396757,336802,172712,82213,68429,61597,58252,53813,53484,48554,42667,41352,38296,36626,37861
9,GA,597955,581082,555238,549483,561796,525725,504406,541967,541253,545117,578691,568291,608551,543816,560859,560072,585793,581655,571167,571273,543176,526059,527636,499667,497901,482469,299310,305371,218287,253809,218782,235880,217014,202508,236053,205226,187805,181782,185494,159348,122068,125605,114745,109007,98222,105812,106371,109475,109456,108022,118296,103171,96771,94691,96116
10,HI,27166,25465,20485,18378,16245,16443,16372,15300,14201,13107,13919,13429,10550,12469,20451,21821,21701,22540,24121,24636,25428,27850,26818,27532,27951,28887,20427,18834,17315,15307,15372,14920,13379,13571,12808,1258,1143,1355,1663,1498,1550,1528,1491,1283,1559,1773,1657,1389,1309,1265,1429,446,214,258,292
11,ID,154936,138799,154829,176717,130652,134509,133546,125625,146509,121085,112379,109553,113779,105045,141448,167747,160202,179342,164235,139907,106699,126225,95133,116020,119510,124650,87512,101722,146627,132508,156347,152250,137242,115694,113407,113729,119334,85968,121380,118011,111472,97216,92776,89445,85735,76228,80804,82252,81379,79778,76892,73227,73984,70403,77688
12,IL,2683815,2519993,2436702,2189423,2090939,2082111,2004282,1973876,1918181,1896816,1900192,1935532,1912128,1908374,1889003,1957541,1669297,1659524,1967259,2121661,2166774,1975492,2366624,2341267,2344499,2383995,2355697,2152414,2147798,2055136,2101545,1872994,1906473,1707156,1886839,1785582,1607679,1660747,1752734,1716971,1675239,1771669,1841626,1612167,1776846,1788755,1771621,1845087,1835476,1727688,1688972,1645044,1599502,1506491,1526429
13,IN,1123098,1106441,1046014,1062319,987568,966364,942381,868310,845570,840804,854711,859941,854388,875595,678284,812027,870584,845618,720882,647011,756796,723408,758583,779653,875212,836262,798991,858033,829471,834936,914373,792648,785360,725449,756592,677130,595370,671646,611331,601302,575209,614098,645110,543204,568289,523314,491358,504437,472286,436816,424814,429887,444556,427978,441137
14,IA,757014,730473,677875,689146,673102,585782,454064,380270,316595,259926,224160,175691,160969,145164,155812,152226,147503,153721,160933,152311,157845,143683,141569,142166,128088,133347,163135,154433,148713,110943,117185,105350,102947,104262,96795,62098,41336,58106,54929,54089,43130,27988,34811,35516,36465,33900,34337,32480,36164,36702,32894,38456,38919,34859,37943
15,KS,880650,830704,793080,781704,812830,817473,838353,796098,780173,756214,791222,801234,839143,868519,908841,912114,1006753,1088076,1134770,1184022,1172378,1146895,1145658,1122332,1062319,1111343,1087579,1017902,1031414,1089893,1008096,951025,931996,1120963,1177964,1218598,1272768,1197624,1244240,1262266,1329329,1374247,1422089,1440207,1495572,1492823,1474576,1537933,1537890,1489608,1470641,1447469,1417765,1365016,1361353
16,KY,2055121,2138426,2391118,2840858,2781466,2823160,3122659,3044711,3177488,3153509,3030289,2983164,3271820,3484432,3413502,3640198,3981427,4092953,4025990,4067403,4268627,4132252,4290982,4229951,4578093,4402356,4180227,4321935,4068325,4032068,4190723,3453804,3936506,4125984,3863917,3820881,3450459,3684666,3665986,3620391,3442197,3247876,3108431,3077571,3231391,2817462,2637782,2634794,2454266,2288077,2214547,2072411,1874012,1730648,1846570
17,LA,2852411,3208044,3789540,3972994,3170742,2469375,2313167,2403001,2387068,2332834,2515696,2498580,2574020,2774104,2759532,2913612,3024763,3024355,3054834,3062481,3033911,3089282,3053912,3099146,3143651,3171722,3288759,3297149,3384115,3172800,3544335,3429087,3794045,4160589,4411993,4782427,5323470,5441636,5714724,6172438,7236962,8287738,8628338,9235651,9368708,9108344,8663592,8247624,7417262,6741181,6415113,6125002,5698543,5371980,5071351
18,ME,151257,155380,152331,154764,151940,148253,182615,155647,152360,159689,136781,132354,140393,146153,163031,159191,151245,161832,220387,162964,226056,218446,215141,222939,203067,227890,171221,158593,188803,192916,194880,202740,177007,187270,169165,125825,133471,128075,135595,110009,104156,101187,60468,55423,59420,61658,59840,58337,55812,51675,55936,58874,55672,56575,59784
19,MD,250058,248554,245197,272882,250812,254180,263758,245196,312144,323812,334639,321481,290411,287583,308713,284200,292576,295316,296229,281908,263336,263241,242325,231863,151816,168772,252736,252004,288028,235288,287066,258561,260009,279835,254802,233867,237373,247182,192894,163326,103837,95857,97878,91095,93491,81141,85262,83166,73745,70063,67606,66539,59310,58541,61535
